loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.0131,1.0089651346206665,6e-05,94.0,231052,,,,,,,,,
,,,94.0,231052,1.1253974437713623,1581.743,0.599,0.075,,,,,
1.0111,0.3896521329879761,5e-05,95.0,233510,,,,,,,,,
,,,95.0,233510,1.1270499229431152,87.2756,10.862,1.363,,,,,
1.0098,0.5910563468933105,4e-05,96.0,235968,,,,,,,,,
,,,96.0,235968,1.127308964729309,88.2537,10.742,1.348,,,,,
1.0087,0.5598410964012146,3e-05,97.0,238426,,,,,,,,,
,,,97.0,238426,1.125312328338623,90.3165,10.496,1.318,,,,,
1.007,0.8393079042434692,2e-05,98.0,240884,,,,,,,,,
,,,98.0,240884,1.126908540725708,458.7746,2.066,0.259,,,,,
1.0063,0.5267074108123779,1e-05,99.0,243342,,,,,,,,,
,,,99.0,243342,1.1266188621520996,94.7751,10.003,1.256,,,,,
1.0063,0.40848785638809204,0.0,100.0,245800,,,,,,,,,
,,,100.0,245800,1.1264052391052246,2031.0014,0.467,0.059,,,,,
,,,100.0,245800,,,,,151503.6138,1.622,1.622,1.696494812921856e+17,1.1367359361889111
